cell_id,row,col,elevation_m,slope_ratio,flow_distance_m,direction,downstream_cell,state,is_boundary,is_outlet
C00001,0,0,26.5,0.084853,14.14,SE,C00022,downstream,True,False
C00002,0,1,26.5,0.12,10.0,S,C00022,downstream,True,False
C00003,0,2,26.5,0.12,10.0,S,C00023,downstream,True,False
C00004,0,3,26.5,0.12,10.0,S,C00024,downstream,True,False
C00005,0,4,26.5,0.12,10.0,S,C00025,downstream,True,False
C00006,0,5,26.5,0.12,10.0,S,C00026,downstream,True,False
C00007,0,6,26.5,0.12,10.0,S,C00027,downstream,True,False
C00008,0,7,26.5,0.12,10.0,S,C00028,downstream,True,False
C00009,0,8,26.0,0.084853,14.14,SE,C00030,downstream,True,False
C00010,0,9,25.5,0.084853,14.14,SE,C00031,downstream,True,False
C00011,0,10,25.0,0.084853,14.14,SE,C00032,downstream,True,False
C00012,0,11,24.5,0.084853,14.14,SE,C00033,downstream,True,False
C00013,0,12,24.0,0.084853,14.14,SE,C00034,downstream,True,False
C00014,0,13,23.5,0.084853,14.14,SE,C00035,downstream,True,False
C00015,0,14,23.0,0.084853,14.14,SE,C00036,downstream,True,False
C00016,0,15,22.5,0.084853,14.14,SE,C00037,downstream,True,False
C00017,0,16,22.0,0.084853,14.14,SE,C00038,downstream,True,False
C00018,0,17,21.5,0.084853,14.14,SE,C00039,downstream,True,False
C00021,1,0,26.3,0.1,10.0,E,C00022,downstream,True,False
C00022,1,1,25.3,0.084853,14.14,SE,C00043,downstream,False,False
C00023,1,2,25.3,0.12,10.0,S,C00043,downstream,False,False
C00024,1,3,25.3,0.12,10.0,S,C00044,downstream,False,False
C00025,1,4,25.3,0.12,10.0,S,C00045,downstream,False,False
C00026,1,5,25.3,0.12,10.0,S,C00046,downstream,False,False
C00027,1,6,25.3,0.12,10.0,S,C00047,downstream,False,False
C00028,1,7,25.3,0.12,10.0,S,C00048,downstream,False,False
C00029,1,8,25.3,0.12,10.0,S,C00049,downstream,False,False
C00030,1,9,24.8,0.084853,14.14,SE,C00051,downstream,False,False
C00031,1,10,24.3,0.084853,14.14,SE,C00052,downstream,False,False
C00032,1,11,23.8,0.084853,14.14,SE,C00053,downstream,False,False
C00033,1,12,23.3,0.084853,14.14,SE,C00054,downstream,False,False
C00034,1,13,22.8,0.084853,14.14,SE,C00055,downstream,False,False
C00035,1,14,22.3,0.084853,14.14,SE,C00056,downstream,False,False
C00036,1,15,21.8,0.084853,14.14,SE,C00057,downstream,False,False
C00037,1,16,21.3,0.084853,14.14,SE,C00058,downstream,False,False
C00038,1,17,20.8,0.084853,14.14,SE,C00059,downstream,True,False
C00039,1,18,20.3,0.084853,14.14,SE,C00060,downstream,True,False
C00040,1,19,19.8,0.07,10.0,S,C00060,downstream,True,False
C00041,2,0,26.1,0.1,10.0,E,C00042,downstream,True,False
C00042,2,1,25.1,0.1,10.0,E,C00043,downstream,False,False
C00043,2,2,24.1,0.084853,14.14,SE,C00064,downstream,False,False
C00044,2,3,24.1,0.12,10.0,S,C00064,downstream,False,False
C00045,2,4,24.1,0.12,10.0,S,C00065,downstream,False,False
C00046,2,5,24.1,0.12,10.0,S,C00066,downstream,False,False
C00047,2,6,24.1,0.12,10.0,S,C00067,downstream,False,False
C00048,2,7,24.1,0.12,10.0,S,C00068,downstream,False,False
C00049,2,8,24.1,0.12,10.0,S,C00069,downstream,False,False
C00050,2,9,24.1,0.12,10.0,S,C00070,downstream,False,False
C00051,2,10,23.6,0.084853,14.14,SE,C00072,downstream,False,False
C00052,2,11,23.1,0.084853,14.14,SE,C00073,downstream,False,False
C00053,2,12,22.6,0.084853,14.14,SE,C00074,downstream,False,False
C00054,2,13,22.1,0.084853,14.14,SE,C00075,downstream,False,False
C00055,2,14,21.6,0.084853,14.14,SE,C00076,downstream,False,False
C00056,2,15,21.1,0.084853,14.14,SE,C00077,downstream,False,False
C00057,2,16,20.6,0.084853,14.14,SE,C00078,downstream,False,False
C00058,2,17,20.1,0.084853,14.14,SE,C00079,downstream,False,False
C00059,2,18,19.6,0.084853,14.14,SE,C00080,downstream,False,False
C00060,2,19,19.1,0.07,10.0,S,C00080,downstream,True,False
C00061,3,0,25.9,0.1,10.0,E,C00062,downstream,True,False
C00062,3,1,24.9,0.1,10.0,E,C00063,downstream,False,False
C00063,3,2,23.9,0.1,10.0,E,C00064,downstream,False,False
C00064,3,3,22.9,0.084853,14.14,SE,C00085,downstream,False,False
C00065,3,4,22.9,0.12,10.0,S,C00085,downstream,False,False
C00066,3,5,22.9,0.12,10.0,S,C00086,downstream,False,False
C00067,3,6,22.9,0.12,10.0,S,C00087,downstream,False,False
C00068,3,7,22.9,0.12,10.0,S,C00088,downstream,False,False
C00069,3,8,22.9,0.12,10.0,S,C00089,downstream,False,False
C00070,3,9,22.9,0.12,10.0,S,C00090,downstream,False,False
C00071,3,10,22.9,0.12,10.0,S,C00091,downstream,False,False
C00072,3,11,22.4,0.084853,14.14,SE,C00093,downstream,False,False
C00073,3,12,21.9,0.084853,14.14,SE,C00094,downstream,False,False
C00074,3,13,21.4,0.084853,14.14,SE,C00095,downstream,False,False
C00075,3,14,20.9,0.084853,14.14,SE,C00096,downstream,False,False
C00076,3,15,20.4,0.084853,14.14,SE,C00097,downstream,False,False
C00077,3,16,19.9,0.084853,14.14,SE,C00098,downstream,False,False
C00078,3,17,19.4,0.084853,14.14,SE,C00099,downstream,False,False
C00079,3,18,18.9,0.084853,14.14,SE,C00100,downstream,False,False
C00080,3,19,18.4,0.07,10.0,S,C00100,downstream,True,False
C00081,4,0,25.7,0.1,10.0,E,C00082,downstream,True,False
C00082,4,1,24.7,0.1,10.0,E,C00083,downstream,False,False
C00083,4,2,23.7,0.1,10.0,E,C00084,downstream,False,False
C00084,4,3,22.7,0.1,10.0,E,C00085,downstream,False,False
C00085,4,4,21.7,0.084853,14.14,SE,C00106,downstream,False,False
C00086,4,5,21.7,0.12,10.0,S,C00106,downstream,False,False
C00087,4,6,21.7,0.12,10.0,S,C00107,downstream,False,False
C00088,4,7,21.7,0.12,10.0,S,C00108,downstream,False,False
C00089,4,8,21.7,0.12,10.0,S,C00109,downstream,False,False
C00090,4,9,21.7,0.12,10.0,S,C00110,downstream,False,False
C00091,4,10,21.7,0.12,10.0,S,C00111,downstream,False,False
C00092,4,11,21.7,0.12,10.0,S,C00112,downstream,False,False
C00093,4,12,21.2,0.084853,14.14,SE,C00114,downstream,False,False
C00094,4,13,20.7,0.084853,14.14,SE,C00115,downstream,False,False
C00095,4,14,20.2,0.084853,14.14,SE,C00116,downstream,False,False
C00096,4,15,19.7,0.084853,14.14,SE,C00117,downstream,False,False
C00097,4,16,19.2,0.084853,14.14,SE,C00118,downstream,False,False
C00098,4,17,18.7,0.084853,14.14,SE,C00119,downstream,False,False
C00099,4,18,18.2,0.084853,14.14,SE,C00120,downstream,False,False
C00100,4,19,17.7,0.07,10.0,S,C00120,downstream,True,False
C00101,5,0,25.5,0.1,10.0,E,C00102,downstream,True,False
C00102,5,1,24.5,0.1,10.0,E,C00103,downstream,False,False
C00103,5,2,23.5,0.1,10.0,E,C00104,downstream,False,False
C00104,5,3,22.5,0.1,10.0,E,C00105,downstream,False,False
C00105,5,4,21.5,0.1,10.0,E,C00106,downstream,False,False
C00106,5,5,20.5,0.084853,14.14,SE,C00127,downstream,False,False
C00107,5,6,20.5,0.12,10.0,S,C00127,downstream,False,False
C00108,5,7,20.5,0.12,10.0,S,C00128,downstream,False,False
C00109,5,8,20.5,0.12,10.0,S,C00129,downstream,False,False
C00110,5,9,20.5,0.12,10.0,S,C00130,downstream,False,False
C00111,5,10,20.5,0.12,10.0,S,C00131,downstream,False,False
C00112,5,11,20.5,0.12,10.0,S,C00132,downstream,False,False
C00113,5,12,20.5,0.12,10.0,S,C00133,downstream,False,False
C00114,5,13,20.0,0.084853,14.14,SE,C00135,downstream,False,False
C00115,5,14,19.5,0.084853,14.14,SE,C00136,downstream,False,False
C00116,5,15,19.0,0.084853,14.14,SE,C00137,downstream,False,False
C00117,5,16,18.5,0.084853,14.14,SE,C00138,downstream,False,False
C00118,5,17,18.0,0.084853,14.14,SE,C00139,downstream,False,False
C00119,5,18,17.5,0.084853,14.14,SE,C00140,downstream,False,False
C00120,5,19,17.0,0.07,10.0,S,C00140,downstream,True,False
C00121,6,0,25.3,0.1,10.0,E,C00122,downstream,True,False
C00122,6,1,24.3,0.1,10.0,E,C00123,downstream,False,False
C00123,6,2,23.3,0.1,10.0,E,C00124,downstream,False,False
C00124,6,3,22.3,0.1,10.0,E,C00125,downstream,False,False
C00125,6,4,21.3,0.1,10.0,E,C00126,downstream,False,False
C00126,6,5,20.3,0.1,10.0,E,C00127,downstream,False,False
C00127,6,6,19.3,0.084853,14.14,SE,C00148,downstream,False,False
C00128,6,7,19.3,0.12,10.0,S,C00148,downstream,False,False
C00129,6,8,19.3,0.12,10.0,S,C00149,downstream,False,False
C00130,6,9,19.3,0.12,10.0,S,C00150,downstream,False,False
C00131,6,10,19.3,0.12,10.0,S,C00151,downstream,False,False
C00132,6,11,19.3,0.12,10.0,S,C00152,downstream,False,False
C00133,6,12,19.3,0.12,10.0,S,C00153,downstream,False,False
C00134,6,13,19.3,0.12,10.0,S,C00154,downstream,False,False
C00135,6,14,18.8,0.084853,14.14,SE,C00156,downstream,False,False
C00136,6,15,18.3,0.084853,14.14,SE,C00157,downstream,False,False
C00137,6,16,17.8,0.084853,14.14,SE,C00158,downstream,False,False
C00138,6,17,17.3,0.084853,14.14,SE,C00159,downstream,False,False
C00139,6,18,16.8,0.084853,14.14,SE,C00160,downstream,False,False
C00140,6,19,16.3,0.07,10.0,S,C00160,downstream,True,False
C00141,7,0,25.1,0.1,10.0,E,C00142,downstream,True,False
C00142,7,1,24.1,0.1,10.0,E,C00143,downstream,False,False
C00143,7,2,23.1,0.1,10.0,E,C00144,downstream,False,False
C00144,7,3,22.1,0.1,10.0,E,C00145,downstream,False,False
C00145,7,4,21.1,0.1,10.0,E,C00146,downstream,False,False
C00146,7,5,20.1,0.1,10.0,E,C00147,downstream,False,False
C00147,7,6,19.1,0.1,10.0,E,C00148,downstream,False,False
C00148,7,7,18.1,0.084853,14.14,SE,C00169,downstream,False,False
C00149,7,8,18.1,0.12,10.0,S,C00169,downstream,False,False
C00150,7,9,18.1,0.12,10.0,S,C00170,downstream,False,False
C00151,7,10,18.1,0.12,10.0,S,C00171,downstream,False,False
C00152,7,11,18.1,0.12,10.0,S,C00172,downstream,False,False
C00153,7,12,18.1,0.12,10.0,S,C00173,downstream,False,False
C00154,7,13,18.1,0.12,10.0,S,C00174,downstream,False,False
C00155,7,14,18.1,0.12,10.0,S,C00175,downstream,False,False
C00156,7,15,17.6,0.084853,14.14,SE,C00177,downstream,False,False
C00157,7,16,17.1,0.084853,14.14,SE,C00178,downstream,False,False
C00158,7,17,16.6,0.084853,14.14,SE,C00179,downstream,False,False
C00159,7,18,16.1,0.084853,14.14,SE,C00180,downstream,False,False
C00160,7,19,15.6,0.07,10.0,S,C00180,downstream,True,False
C00161,8,0,24.4,0.084853,14.14,SE,C00182,downstream,True,False
C00162,8,1,23.9,0.1,10.0,E,C00163,downstream,False,False
C00163,8,2,22.9,0.1,10.0,E,C00164,downstream,False,False
C00164,8,3,21.9,0.1,10.0,E,C00165,downstream,False,False
C00165,8,4,20.9,0.1,10.0,E,C00166,downstream,False,False
C00166,8,5,19.9,0.1,10.0,E,C00167,downstream,False,False
C00167,8,6,18.9,0.1,10.0,E,C00168,downstream,False,False
C00168,8,7,17.9,0.1,10.0,E,C00169,downstream,False,False
C00169,8,8,16.9,0.084853,14.14,SE,C00190,downstream,False,False
C00170,8,9,16.9,0.12,10.0,S,C00190,downstream,False,False
C00171,8,10,16.9,0.12,10.0,S,C00191,downstream,False,False
C00172,8,11,16.9,0.12,10.0,S,C00192,downstream,False,False
C00173,8,12,16.9,0.12,10.0,S,C00193,downstream,False,False
C00174,8,13,16.9,0.12,10.0,S,C00194,downstream,False,False
C00175,8,14,16.9,0.12,10.0,S,C00195,downstream,False,False
C00176,8,15,16.9,0.12,10.0,S,C00196,downstream,False,False
C00177,8,16,16.4,0.084853,14.14,SE,C00198,downstream,False,False
C00178,8,17,15.9,0.084853,14.14,SE,C00199,downstream,False,False
C00179,8,18,15.4,0.084853,14.14,SE,C00200,downstream,False,False
C00180,8,19,14.9,0.07,10.0,S,C00200,downstream,True,False
C00181,9,0,23.7,0.084853,14.14,SE,C00202,downstream,True,False
C00182,9,1,23.2,0.084853,14.14,SE,C00203,downstream,False,False
C00183,9,2,22.7,0.1,10.0,E,C00184,downstream,False,False
C00184,9,3,21.7,0.1,10.0,E,C00185,downstream,False,False
C00185,9,4,20.7,0.1,10.0,E,C00186,downstream,False,False
C00186,9,5,19.7,0.1,10.0,E,C00187,downstream,False,False
C00187,9,6,18.7,0.1,10.0,E,C00188,downstream,False,False
C00188,9,7,17.7,0.1,10.0,E,C00189,downstream,False,False
C00189,9,8,16.7,0.1,10.0,E,C00190,downstream,False,False
C00190,9,9,15.7,0.084853,14.14,SE,C00211,downstream,False,False
C00191,9,10,15.7,0.12,10.0,S,C00211,downstream,False,False
C00192,9,11,15.7,0.12,10.0,S,C00212,downstream,False,False
C00193,9,12,15.7,0.12,10.0,S,C00213,downstream,False,False
C00194,9,13,15.7,0.12,10.0,S,C00214,downstream,False,False
C00195,9,14,15.7,0.12,10.0,S,C00215,downstream,False,False
C00196,9,15,15.7,0.12,10.0,S,C00216,downstream,False,False
C00197,9,16,15.7,0.12,10.0,S,C00217,downstream,False,False
C00198,9,17,15.2,0.084853,14.14,SE,C00219,downstream,False,False
C00199,9,18,14.7,0.084853,14.14,SE,C00220,downstream,False,False
C00200,9,19,14.2,0.07,10.0,S,C00220,downstream,True,False
C00201,10,0,23.0,0.084853,14.14,SE,C00222,downstream,True,False
C00202,10,1,22.5,0.084853,14.14,SE,C00223,downstream,False,False
C00203,10,2,22.0,0.084853,14.14,SE,C00224,downstream,False,False
C00204,10,3,21.5,0.1,10.0,E,C00205,downstream,False,False
C00205,10,4,20.5,0.1,10.0,E,C00206,downstream,False,False
C00206,10,5,19.5,0.1,10.0,E,C00207,downstream,False,False
C00207,10,6,18.5,0.1,10.0,E,C00208,downstream,False,False
C00208,10,7,17.5,0.1,10.0,E,C00209,downstream,False,False
C00209,10,8,16.5,0.1,10.0,E,C00210,downstream,False,False
C00210,10,9,15.5,0.1,10.0,E,C00211,downstream,False,False
C00211,10,10,14.5,0.084853,14.14,SE,C00232,downstream,False,False
C00212,10,11,14.5,0.12,10.0,S,C00232,downstream,False,False
C00213,10,12,14.5,0.12,10.0,S,C00233,downstream,False,False
C00214,10,13,14.5,0.12,10.0,S,C00234,downstream,False,False
C00215,10,14,14.5,0.12,10.0,S,C00235,downstream,False,False
C00216,10,15,14.5,0.12,10.0,S,C00236,downstream,False,False
C00217,10,16,14.5,0.12,10.0,S,C00237,downstream,False,False
C00218,10,17,14.5,0.12,10.0,S,C00238,downstream,False,False
C00219,10,18,14.0,0.084853,14.14,SE,C00240,downstream,False,False
C00220,10,19,13.5,0.07,10.0,S,C00240,downstream,True,False
C00221,11,0,22.3,0.084853,14.14,SE,C00242,downstream,True,False
C00222,11,1,21.8,0.084853,14.14,SE,C00243,downstream,False,False
