sensor_id,timestamp,latitude,longitude,distance_cm,water_depth_cm,status,battery,rssi
S001,0,13.0837,80.2717,100.0,0.0,ONLINE,98,-62
S002,0,13.0847,80.2747,120.0,0.0,ONLINE,98,-62
S003,0,13.0867,80.2747,110.0,0.0,ONLINE,98,-62
S004,0,13.0887,80.2777,130.0,0.0,ONLINE,98,-62
S005,0,13.0887,80.2707,100.0,0.0,ONLINE,98,-62
S006,0,13.0907,80.2777,125.0,0.0,ONLINE,98,-62
S001,900,13.0837,80.2717,98.8,1.2,ONLINE,98,-62
S002,900,13.0847,80.2747,118.7,1.3,ONLINE,98,-62
S003,900,13.0867,80.2747,108.3,1.7,ONLINE,98,-62
S004,900,13.0887,80.2777,126.2,3.8,ONLINE,98,-62
S005,900,13.0887,80.2707,98.6,1.4,ONLINE,98,-62
S006,900,13.0907,80.2777,121.9,3.1,ONLINE,98,-62
S001,1800,13.0837,80.2717,97.6,2.4,ONLINE,98,-62
S002,1800,13.0847,80.2747,117.5,2.5,ONLINE,98,-62
S003,1800,13.0867,80.2747,106.8,3.2,ONLINE,98,-62
S004,1800,13.0887,80.2777,122.7,7.3,ONLINE,98,-62
S005,1800,13.0887,80.2707,97.3,2.7,ONLINE,98,-62
S006,1800,13.0907,80.2777,119.1,5.9,ONLINE,98,-62
S001,2700,13.0837,80.2717,96.6,3.4,ONLINE,98,-62
S002,2700,13.0847,80.2747,116.4,3.6,ONLINE,98,-62
S003,2700,13.0867,80.2747,105.5,4.5,ONLINE,98,-62
S004,2700,13.0887,80.2777,119.7,10.3,ONLINE,98,-62
S005,2700,13.0887,80.2707,96.2,3.8,ONLINE,98,-62
S006,2700,13.0907,80.2777,116.6,8.4,ONLINE,98,-62
S001,3600,13.0837,80.2717,95.8,4.2,ONLINE,98,-62
S002,3600,13.0847,80.2747,115.6,4.4,ONLINE,98,-62
S003,3600,13.0867,80.2747,104.5,5.5,ONLINE,98,-62
S004,3600,13.0887,80.2777,117.4,12.6,ONLINE,98,-62
S005,3600,13.0887,80.2707,95.3,4.7,ONLINE,98,-62
S006,3600,13.0907,80.2777,114.7,10.3,ONLINE,98,-62
S001,4500,13.0837,80.2717,95.4,4.6,ONLINE,98,-62
S002,4500,13.0847,80.2747,115.1,4.9,ONLINE,98,-62
S003,4500,13.0867,80.2747,103.8,6.2,ONLINE,98,-62
S004,4500,13.0887,80.2777,115.9,14.1,ONLINE,98,-62
S005,4500,13.0887,80.2707,94.8,5.2,ONLINE,98,-62
S006,4500,13.0907,80.2777,113.5,11.5,ONLINE,98,-62
S001,5400,13.0837,80.2717,95.2,4.8,ONLINE,98,-62
S002,5400,13.0847,80.2747,114.9,5.1,ONLINE,98,-62
S003,5400,13.0867,80.2747,103.6,6.4,ONLINE,98,-62
S004,5400,13.0887,80.2777,115.4,14.6,ONLINE,98,-62
S005,5400,13.0887,80.2707,94.6,5.4,ONLINE,98,-62
S006,5400,13.0907,80.2777,113.1,11.9,ONLINE,98,-62
S001,6300,13.0837,80.2717,95.4,4.6,ONLINE,98,-62
S002,6300,13.0847,80.2747,115.1,4.9,ONLINE,98,-62
S003,6300,13.0867,80.2747,103.8,6.2,ONLINE,98,-62
S004,6300,13.0887,80.2777,115.9,14.1,ONLINE,98,-62
S005,6300,13.0887,80.2707,94.8,5.2,ONLINE,98,-62
S006,6300,13.0907,80.2777,113.5,11.5,ONLINE,98,-62
S001,7200,13.0837,80.2717,95.8,4.2,ONLINE,98,-62
S002,7200,13.0847,80.2747,115.6,4.4,ONLINE,98,-62
S003,7200,13.0867,80.2747,104.5,5.5,ONLINE,98,-62
S004,7200,13.0887,80.2777,117.4,12.6,ONLINE,98,-62
S005,7200,13.0887,80.2707,95.3,4.7,ONLINE,98,-62
S006,7200,13.0907,80.2777,114.7,10.3,ONLINE,98,-62
S001,8100,13.0837,80.2717,96.6,3.4,ONLINE,98,-62
S002,8100,13.0847,80.2747,116.4,3.6,ONLINE,98,-62
S003,8100,13.0867,80.2747,105.5,4.5,ONLINE,98,-62
S004,8100,13.0887,80.2777,119.7,10.3,ONLINE,98,-62
S005,8100,13.0887,80.2707,96.2,3.8,ONLINE,98,-62
S006,8100,13.0907,80.2777,116.6,8.4,ONLINE,98,-62
S001,9000,13.0837,80.2717,97.6,2.4,ONLINE,98,-62
S002,9000,13.0847,80.2747,117.5,2.5,ONLINE,98,-62
S003,9000,13.0867,80.2747,106.8,3.2,ONLINE,98,-62
S004,9000,13.0887,80.2777,122.7,7.3,ONLINE,98,-62
S005,9000,13.0887,80.2707,97.3,2.7,ONLINE,98,-62
S006,9000,13.0907,80.2777,119.1,5.9,ONLINE,98,-62
S001,9900,13.0837,80.2717,98.8,1.2,ONLINE,98,-62
S002,9900,13.0847,80.2747,118.7,1.3,ONLINE,98,-62
S003,9900,13.0867,80.2747,108.3,1.7,ONLINE,98,-62
S004,9900,13.0887,80.2777,126.2,3.8,ONLINE,98,-62
S005,9900,13.0887,80.2707,98.6,1.4,ONLINE,98,-62
S006,9900,13.0907,80.2777,121.9,3.1,ONLINE,98,-62
S001,10800,13.0837,80.2717,100.0,0.0,ONLINE,98,-62
S002,10800,13.0847,80.2747,120.0,0.0,ONLINE,98,-62
S003,10800,13.0867,80.2747,110.0,0.0,ONLINE,98,-62
S004,10800,13.0887,80.2777,130.0,0.0,ONLINE,98,-62
S005,10800,13.0887,80.2707,100.0,0.0,ONLINE,98,-62
S006,10800,13.0907,80.2777,125.0,0.0,ONLINE,98,-62
