cell_id,row,col,latitude,longitude,elevation_m
C0000,0,0,13.05,80.2,17.96
C0001,0,1,13.05,80.2018,16.54
C0002,0,2,13.05,80.2036,16.84
C0003,0,3,13.05,80.2054,17.48
C0004,0,4,13.05,80.2072,18.05
C0005,0,5,13.05,80.209,17.81
C0006,0,6,13.05,80.2108,17.53
C0007,0,7,13.05,80.2126,16.6
C0008,0,8,13.05,80.2144,16.35
C0009,0,9,13.05,80.2162,15.67
C0100,1,0,13.0518,80.2,16.66
C0101,1,1,13.0518,80.2018,15.6
C0102,1,2,13.0518,80.2036,15.64
C0103,1,3,13.0518,80.2054,16.73
C0104,1,4,13.0518,80.2072,17.47
C0105,1,5,13.0518,80.209,17.26
C0106,1,6,13.0518,80.2108,16.68
C0107,1,7,13.0518,80.2126,16.45
C0108,1,8,13.0518,80.2144,16.14
C0109,1,9,13.0518,80.2162,15.2
C0200,2,0,13.0536,80.2,17.16
C0201,2,1,13.0536,80.2018,16.04
C0202,2,2,13.0536,80.2036,15.98
C0203,2,3,13.0536,80.2054,16.54
C0204,2,4,13.0536,80.2072,17.29
C0205,2,5,13.0536,80.209,16.7
C0206,2,6,13.0536,80.2108,16.15
C0207,2,7,13.0536,80.2126,15.71
C0208,2,8,13.0536,80.2144,15.71
C0209,2,9,13.0536,80.2162,15.12
C0300,3,0,13.0554,80.2,17.83
C0301,3,1,13.0554,80.2018,17.05
C0302,3,2,13.0554,80.2036,16.77
C0303,3,3,13.0554,80.2054,17.11
C0304,3,4,13.0554,80.2072,16.64
C0305,3,5,13.0554,80.209,16.42
C0306,3,6,13.0554,80.2108,16.17
C0307,3,7,13.0554,80.2126,15.6
C0308,3,8,13.0554,80.2144,15.31
C0309,3,9,13.0554,80.2162,14.68
C0400,4,0,13.0572,80.2,18.04
C0401,4,1,13.0572,80.2018,17.11
C0402,4,2,13.0572,80.2036,16.85
C0403,4,3,13.0572,80.2054,16.59
C0404,4,4,13.0572,80.2072,16.12
C0405,4,5,13.0572,80.209,15.82
C0406,4,6,13.0572,80.2108,15.35
C0407,4,7,13.0572,80.2126,15.06
C0408,4,8,13.0572,80.2144,14.86
C0409,4,9,13.0572,80.2162,14.22
C0500,5,0,13.059,80.2,17.62
C0501,5,1,13.059,80.2018,17.06
C0502,5,2,13.059,80.2036,16.66
C0503,5,3,13.059,80.2054,16.65
C0504,5,4,13.059,80.2072,16.07
C0505,5,5,13.059,80.209,15.69
C0506,5,6,13.059,80.2108,15.14
C0507,5,7,13.059,80.2126,15.21
C0508,5,8,13.059,80.2144,14.51
C0509,5,9,13.059,80.2162,14.1
C0600,6,0,13.0608,80.2,17.59
C0601,6,1,13.0608,80.2018,16.93
C0602,6,2,13.0608,80.2036,16.43
C0603,6,3,13.0608,80.2054,16.08
C0604,6,4,13.0608,80.2072,15.79
C0605,6,5,13.0608,80.209,15.5
C0606,6,6,13.0608,80.2108,15.1
C0607,6,7,13.0608,80.2126,14.96
C0608,6,8,13.0608,80.2144,14.87
C0609,6,9,13.0608,80.2162,14.2
C0700,7,0,13.0626,80.2,16.68
C0701,7,1,13.0626,80.2018,16.67
C0702,7,2,13.0626,80.2036,16.18
C0703,7,3,13.0626,80.2054,15.42
C0704,7,4,13.0626,80.2072,15.29
C0705,7,5,13.0626,80.209,15.01
C0706,7,6,13.0626,80.2108,15.49
C0707,7,7,13.0626,80.2126,15.47
C0708,7,8,13.0626,80.2144,15.23
C0709,7,9,13.0626,80.2162,14.44
C0800,8,0,13.0644,80.2,16.44
C0801,8,1,13.0644,80.2018,15.81
C0802,8,2,13.0644,80.2036,15.56
C0803,8,3,13.0644,80.2054,15.33
C0804,8,4,13.0644,80.2072,14.71
C0805,8,5,13.0644,80.209,14.54
C0806,8,6,13.0644,80.2108,15.28
C0807,8,7,13.0644,80.2126,15.37
C0808,8,8,13.0644,80.2144,15.05
C0809,8,9,13.0644,80.2162,14.19
C0900,9,0,13.0662,80.2,15.72
C0901,9,1,13.0662,80.2018,15.58
C0902,9,2,13.0662,80.2036,15.23
C0903,9,3,13.0662,80.2054,14.59
C0904,9,4,13.0662,80.2072,14.04
C0905,9,5,13.0662,80.209,14.1
C0906,9,6,13.0662,80.2108,14.63
C0907,9,7,13.0662,80.2126,14.61
C0908,9,8,13.0662,80.2144,14.75
C0909,9,9,13.0662,80.2162,13.91
