event_id,timestamp,latitude,longitude,road_id,observed_depth_cm,source
EVT001,2019-07-12T20:00:00,13.059,80.2054,R006,18.5,Citizen report (synthetic)
EVT009,2019-08-12T07:00:00,13.0554,80.2108,R003,41.3,News report (synthetic)
EVT011,2020-07-26T19:00:00,13.0554,80.2108,R003,38.0,Corporation complaint log
EVT003,2020-08-04T10:00:00,13.0608,80.2108,R002,40.9,News report (synthetic)
EVT005,2021-06-03T14:00:00,13.0644,80.2072,R008,31.5,Corporation complaint log
EVT017,2021-07-19T14:00:00,13.0608,80.2108,R002,43.6,Corporation complaint log
EVT006,2021-07-21T11:00:00,13.0536,80.2036,R001,44.3,Citizen report (synthetic)
EVT014,2022-08-10T13:00:00,13.0626,80.2018,R004,38.4,Corporation complaint log
EVT008,2023-06-27T10:00:00,13.0554,80.2108,R003,21.7,News report (synthetic)
EVT004,2023-07-23T14:00:00,13.0536,80.209,R005,20.7,Citizen report (synthetic)
EVT018,2023-09-12T16:00:00,13.0608,80.2108,R002,35.0,News report (synthetic)
EVT007,2023-11-14T09:00:00,13.0644,80.2072,R008,28.8,Corporation complaint log
EVT002,2023-11-17T15:00:00,13.0536,80.209,R005,8.3,Citizen report (synthetic)
EVT013,2024-06-13T21:00:00,13.0554,80.2108,R003,40.3,Corporation complaint log
EVT015,2024-07-13T08:00:00,13.0536,80.2036,R001,20.1,News report (synthetic)
EVT010,2024-07-22T19:00:00,13.0626,80.2018,R004,11.8,Citizen report (synthetic)
EVT012,2024-08-26T13:00:00,13.0554,80.2108,R003,42.4,News report (synthetic)
EVT016,2024-10-13T16:00:00,13.059,80.2054,R006,33.1,Corporation complaint log
