timestamp_min,cell_id,latitude,longitude,rainfall_rate_mm_hr
0,C0000,13.05,80.2,3.0
0,C0007,13.05,80.2126,2.96
0,C0104,13.0518,80.2072,2.98
0,C0201,13.0536,80.2018,2.94
0,C0208,13.0536,80.2144,2.93
0,C0305,13.0554,80.209,2.95
0,C0402,13.0572,80.2036,2.96
0,C0409,13.0572,80.2162,2.89
0,C0506,13.059,80.2108,2.91
0,C0603,13.0608,80.2054,2.94
0,C0700,13.0626,80.2,2.96
0,C0707,13.0626,80.2126,2.92
0,C0804,13.0644,80.2072,2.9
0,C0901,13.0662,80.2018,2.93
0,C0908,13.0662,80.2144,2.9
5,C0000,13.05,80.2,4.46
5,C0007,13.05,80.2126,4.4
5,C0104,13.0518,80.2072,4.44
5,C0201,13.0536,80.2018,4.38
5,C0208,13.0536,80.2144,4.36
5,C0305,13.0554,80.209,4.39
5,C0402,13.0572,80.2036,4.41
5,C0409,13.0572,80.2162,4.3
5,C0506,13.059,80.2108,4.34
5,C0603,13.0608,80.2054,4.38
5,C0700,13.0626,80.2,4.4
5,C0707,13.0626,80.2126,4.35
5,C0804,13.0644,80.2072,4.32
5,C0901,13.0662,80.2018,4.36
5,C0908,13.0662,80.2144,4.32
10,C0000,13.05,80.2,5.01
10,C0007,13.05,80.2126,4.95
10,C0104,13.0518,80.2072,4.99
10,C0201,13.0536,80.2018,4.92
10,C0208,13.0536,80.2144,4.9
10,C0305,13.0554,80.209,4.94
10,C0402,13.0572,80.2036,4.96
10,C0409,13.0572,80.2162,4.83
10,C0506,13.059,80.2108,4.88
10,C0603,13.0608,80.2054,4.92
10,C0700,13.0626,80.2,4.95
10,C0707,13.0626,80.2126,4.89
10,C0804,13.0644,80.2072,4.86
10,C0901,13.0662,80.2018,4.9
10,C0908,13.0662,80.2144,4.86
15,C0000,13.05,80.2,7.15
15,C0007,13.05,80.2126,7.05
15,C0104,13.0518,80.2072,7.11
15,C0201,13.0536,80.2018,7.01
15,C0208,13.0536,80.2144,6.99
15,C0305,13.0554,80.209,7.04
15,C0402,13.0572,80.2036,7.07
15,C0409,13.0572,80.2162,6.89
15,C0506,13.059,80.2108,6.95
15,C0603,13.0608,80.2054,7.01
15,C0700,13.0626,80.2,7.06
15,C0707,13.0626,80.2126,6.97
15,C0804,13.0644,80.2072,6.92
15,C0901,13.0662,80.2018,6.98
15,C0908,13.0662,80.2144,6.92
20,C0000,13.05,80.2,9.46
20,C0007,13.05,80.2126,9.34
20,C0104,13.0518,80.2072,9.42
20,C0201,13.0536,80.2018,9.29
20,C0208,13.0536,80.2144,9.26
20,C0305,13.0554,80.209,9.32
20,C0402,13.0572,80.2036,9.36
20,C0409,13.0572,80.2162,9.12
20,C0506,13.059,80.2108,9.2
20,C0603,13.0608,80.2054,9.29
20,C0700,13.0626,80.2,9.34
20,C0707,13.0626,80.2126,9.23
20,C0804,13.0644,80.2072,9.16
20,C0901,13.0662,80.2018,9.24
20,C0908,13.0662,80.2144,9.17
25,C0000,13.05,80.2,10.22
25,C0007,13.05,80.2126,10.09
25,C0104,13.0518,80.2072,10.18
25,C0201,13.0536,80.2018,10.03
25,C0208,13.0536,80.2144,10.0
25,C0305,13.0554,80.209,10.07
25,C0402,13.0572,80.2036,10.11
25,C0409,13.0572,80.2162,9.85
25,C0506,13.059,80.2108,9.94
25,C0603,13.0608,80.2054,10.04
25,C0700,13.0626,80.2,10.1
25,C0707,13.0626,80.2126,9.98
25,C0804,13.0644,80.2072,9.9
25,C0901,13.0662,80.2018,9.99
25,C0908,13.0662,80.2144,9.91
30,C0000,13.05,80.2,10.93
30,C0007,13.05,80.2126,10.79
30,C0104,13.0518,80.2072,10.88
30,C0201,13.0536,80.2018,10.73
30,C0208,13.0536,80.2144,10.7
30,C0305,13.0554,80.209,10.77
30,C0402,13.0572,80.2036,10.82
30,C0409,13.0572,80.2162,10.54
30,C0506,13.059,80.2108,10.63
30,C0603,13.0608,80.2054,10.73
30,C0700,13.0626,80.2,10.8
30,C0707,13.0626,80.2126,10.67
30,C0804,13.0644,80.2072,10.59
30,C0901,13.0662,80.2018,10.68
30,C0908,13.0662,80.2144,10.59
35,C0000,13.05,80.2,13.67
35,C0007,13.05,80.2126,13.49
35,C0104,13.0518,80.2072,13.61
35,C0201,13.0536,80.2018,13.42
35,C0208,13.0536,80.2144,13.37
35,C0305,13.0554,80.209,13.47
35,C0402,13.0572,80.2036,13.53
35,C0409,13.0572,80.2162,13.18
35,C0506,13.059,80.2108,13.3
35,C0603,13.0608,80.2054,13.42
35,C0700,13.0626,80.2,13.5
35,C0707,13.0626,80.2126,13.34
35,C0804,13.0644,80.2072,13.24
35,C0901,13.0662,80.2018,13.36
35,C0908,13.0662,80.2144,13.25
40,C0000,13.05,80.2,16.28
40,C0007,13.05,80.2126,16.06
40,C0104,13.0518,80.2072,16.2
40,C0201,13.0536,80.2018,15.97
40,C0208,13.0536,80.2144,15.92
40,C0305,13.0554,80.209,16.03
40,C0402,13.0572,80.2036,16.1
40,C0409,13.0572,80.2162,15.69
40,C0506,13.059,80.2108,15.83
40,C0603,13.0608,80.2054,15.98
40,C0700,13.0626,80.2,16.08
40,C0707,13.0626,80.2126,15.88
40,C0804,13.0644,80.2072,15.76
40,C0901,13.0662,80.2018,15.9
40,C0908,13.0662,80.2144,15.77
45,C0000,13.05,80.2,16.6
45,C0007,13.05,80.2126,16.38
45,C0104,13.0518,80.2072,16.52
45,C0201,13.0536,80.2018,16.29
45,C0208,13.0536,80.2144,16.23
45,C0305,13.0554,80.209,16.35
