sensor_id,role,timestamp_min,latitude,longitude,distance_cm,water_depth_cm,battery_pct,rssi_dbm,status,is_injected_spike,is_injected_dropout
S001,HEADWATER,0,13.0662,80.2162,99.85,0.15,99.9,-61.4,ONLINE,False,False
S001,HEADWATER,5,13.0662,80.2162,100.0,0.0,99.8,-65.6,ONLINE,False,False
S001,HEADWATER,10,13.0662,80.2162,99.81,0.19,99.8,-63.3,ONLINE,False,False
S001,HEADWATER,15,13.0662,80.2162,99.54,0.46,99.7,-68.0,ONLINE,False,False
S001,HEADWATER,20,13.0662,80.2162,100.0,0.0,99.6,-56.1,ONLINE,False,False
S001,HEADWATER,25,13.0662,80.2162,100.0,0.0,99.5,-71.9,ONLINE,False,False
S001,HEADWATER,30,13.0662,80.2162,99.53,0.47,99.4,-73.9,ONLINE,False,False
S001,HEADWATER,35,13.0662,80.2162,99.77,0.23,99.2,-58.0,ONLINE,False,False
S001,HEADWATER,40,13.0662,80.2162,100.0,0.0,99.1,-63.3,ONLINE,False,False
S001,HEADWATER,45,13.0662,80.2162,99.81,0.19,99.0,-74.5,ONLINE,False,False
S001,HEADWATER,50,13.0662,80.2162,100.0,0.0,98.9,-65.6,ONLINE,False,False
S001,HEADWATER,55,13.0662,80.2162,100.0,0.0,98.8,-65.8,ONLINE,False,False
S001,HEADWATER,60,13.0662,80.2162,99.73,0.27,98.7,-70.5,ONLINE,False,False
S001,HEADWATER,65,13.0662,80.2162,100.0,0.0,98.7,-56.6,ONLINE,False,False
S001,HEADWATER,70,13.0662,80.2162,100.0,0.0,98.5,-58.9,ONLINE,False,False
S001,HEADWATER,75,13.0662,80.2162,99.64,0.36,98.5,-76.7,ONLINE,False,False
S001,HEADWATER,80,13.0662,80.2162,99.63,0.37,98.3,-56.2,ONLINE,False,False
S001,HEADWATER,85,13.0662,80.2162,99.08,0.92,98.3,-66.8,ONLINE,False,False
S001,HEADWATER,90,13.0662,80.2162,99.29,0.71,98.2,-60.5,ONLINE,False,False
S001,HEADWATER,95,13.0662,80.2162,99.27,0.73,98.1,-75.0,ONLINE,False,False
S001,HEADWATER,100,13.0662,80.2162,98.24,1.76,98.0,-65.4,ONLINE,False,False
S001,HEADWATER,105,13.0662,80.2162,98.58,1.42,97.9,-57.9,ONLINE,False,False
S001,HEADWATER,110,13.0662,80.2162,98.33,1.67,97.8,-73.1,ONLINE,False,False
S001,HEADWATER,115,13.0662,80.2162,98.62,1.38,97.7,-61.2,ONLINE,False,False
S001,HEADWATER,120,13.0662,80.2162,98.21,1.79,97.6,-70.8,ONLINE,False,False
S001,HEADWATER,125,13.0662,80.2162,97.87,2.13,97.5,-63.1,ONLINE,False,False
S001,HEADWATER,130,13.0662,80.2162,98.13,1.87,97.4,-66.1,ONLINE,False,False
S001,HEADWATER,135,13.0662,80.2162,97.56,2.44,97.3,-72.8,ONLINE,False,False
S001,HEADWATER,140,13.0662,80.2162,97.75,2.25,97.2,-64.5,ONLINE,False,False
S001,HEADWATER,145,13.0662,80.2162,97.57,2.43,97.2,-72.9,ONLINE,False,False
S001,HEADWATER,150,13.0662,80.2162,97.59,2.41,97.1,-63.5,ONLINE,False,False
S001,HEADWATER,155,13.0662,80.2162,96.79,3.21,97.0,-57.2,ONLINE,False,False
S001,HEADWATER,160,13.0662,80.2162,97.3,2.7,96.9,-76.4,ONLINE,False,False
S001,HEADWATER,165,13.0662,80.2162,97.57,2.43,96.8,-62.6,ONLINE,False,False
S001,HEADWATER,170,13.0662,80.2162,96.97,3.03,96.8,-75.0,ONLINE,False,False
S001,HEADWATER,175,13.0662,80.2162,97.56,2.44,96.6,-64.9,ONLINE,False,False
S001,HEADWATER,180,13.0662,80.2162,97.11,2.89,96.5,-60.0,ONLINE,False,False
S002,ARTERIAL,0,13.059,80.209,100.0,0.0,99.9,-73.6,ONLINE,False,False
S002,ARTERIAL,5,13.059,80.209,100.0,0.0,99.8,-68.1,ONLINE,False,False
S002,ARTERIAL,10,13.059,80.209,99.94,0.06,99.7,-67.3,ONLINE,False,False
S002,ARTERIAL,15,13.059,80.209,99.78,0.22,99.6,-62.5,ONLINE,False,False
S002,ARTERIAL,20,13.059,80.209,99.95,0.05,99.4,-75.7,ONLINE,False,False
