cell_id,latitude,longitude,soil_group,infiltration_rate_mm_hr,land_use
C0000,13.05,80.2,B,5.99,PARK
C0001,13.05,80.2018,C,2.29,RESIDENTIAL
C0002,13.05,80.2036,B,4.09,RESIDENTIAL
C0003,13.05,80.2054,A,7.99,PARK
C0004,13.05,80.2072,C,3.43,RESIDENTIAL
C0005,13.05,80.209,C,3.29,ROAD
C0006,13.05,80.2108,A,8.92,PARK
C0007,13.05,80.2126,C,2.95,RESIDENTIAL
C0008,13.05,80.2144,B,5.72,RESIDENTIAL
C0009,13.05,80.2162,B,3.85,PARK
C0100,13.0518,80.2,C,3.36,RESIDENTIAL
C0101,13.0518,80.2018,D,0.14,WATER_BODY
C0102,13.0518,80.2036,D,1.25,WATER_BODY
C0103,13.0518,80.2054,C,3.07,RESIDENTIAL
C0104,13.0518,80.2072,D,0.23,ROAD
C0105,13.0518,80.209,C,2.84,RESIDENTIAL
C0106,13.0518,80.2108,C,2.46,RESIDENTIAL
C0107,13.0518,80.2126,C,2.11,RESIDENTIAL
C0108,13.0518,80.2144,B,6.96,RESIDENTIAL
C0109,13.0518,80.2162,C,2.0,ROAD
C0200,13.0536,80.2,C,1.91,RESIDENTIAL
C0201,13.0536,80.2018,D,0.6,WATER_BODY
C0202,13.0536,80.2036,C,2.14,RESIDENTIAL
C0203,13.0536,80.2054,D,1.11,ROAD
C0204,13.0536,80.2072,B,5.65,RESIDENTIAL
C0205,13.0536,80.209,C,3.29,RESIDENTIAL
C0206,13.0536,80.2108,C,2.0,RESIDENTIAL
C0207,13.0536,80.2126,C,2.69,RESIDENTIAL
C0208,13.0536,80.2144,C,1.51,ROAD
C0209,13.0536,80.2162,C,2.52,RESIDENTIAL
C0300,13.0554,80.2,B,6.42,RESIDENTIAL
C0301,13.0554,80.2018,C,2.42,RESIDENTIAL
C0302,13.0554,80.2036,C,1.53,ROAD
C0303,13.0554,80.2054,B,5.34,RESIDENTIAL
C0304,13.0554,80.2072,B,4.96,RESIDENTIAL
C0305,13.0554,80.209,C,2.48,RESIDENTIAL
C0306,13.0554,80.2108,C,2.36,RESIDENTIAL
C0307,13.0554,80.2126,D,0.46,ROAD
C0308,13.0554,80.2144,C,1.98,RESIDENTIAL
C0309,13.0554,80.2162,C,1.88,RESIDENTIAL
C0400,13.0572,80.2,A,8.8,PARK
C0401,13.0572,80.2018,C,1.78,ROAD
C0402,13.0572,80.2036,C,1.99,RESIDENTIAL
C0403,13.0572,80.2054,B,7.53,PARK
C0404,13.0572,80.2072,B,4.93,RESIDENTIAL
C0405,13.0572,80.209,C,1.75,RESIDENTIAL
C0406,13.0572,80.2108,A,10.29,PARK
C0407,13.0572,80.2126,B,4.84,RESIDENTIAL
C0408,13.0572,80.2144,B,5.9,RESIDENTIAL
C0409,13.0572,80.2162,A,10.02,PARK
C0500,13.059,80.2,D,0.13,ROAD
C0501,13.059,80.2018,B,5.98,RESIDENTIAL
C0502,13.059,80.2036,C,2.5,RESIDENTIAL
C0503,13.059,80.2054,C,1.76,RESIDENTIAL
C0504,13.059,80.2072,B,4.76,RESIDENTIAL
C0505,13.059,80.209,D,0.15,ROAD
C0506,13.059,80.2108,B,5.32,RESIDENTIAL
C0507,13.059,80.2126,B,5.99,RESIDENTIAL
C0508,13.059,80.2144,B,4.38,RESIDENTIAL
C0509,13.059,80.2162,C,1.51,RESIDENTIAL
C0600,13.0608,80.2,B,4.25,RESIDENTIAL
C0601,13.0608,80.2018,C,2.82,RESIDENTIAL
C0602,13.0608,80.2036,B,6.75,RESIDENTIAL
C0603,13.0608,80.2054,C,2.43,RESIDENTIAL
C0604,13.0608,80.2072,D,0.39,ROAD
C0605,13.0608,80.209,C,2.06,RESIDENTIAL
C0606,13.0608,80.2108,B,6.12,RESIDENTIAL
C0607,13.0608,80.2126,B,7.4,RESIDENTIAL
C0608,13.0608,80.2144,B,6.18,RESIDENTIAL
C0609,13.0608,80.2162,D,0.86,ROAD
C0700,13.0626,80.2,B,4.71,RESIDENTIAL
C0701,13.0626,80.2018,B,4.39,RESIDENTIAL
C0702,13.0626,80.2036,C,2.43,RESIDENTIAL
C0703,13.0626,80.2054,D,0.38,ROAD
C0704,13.0626,80.2072,B,4.89,RESIDENTIAL
C0705,13.0626,80.209,C,3.06,RESIDENTIAL
C0706,13.0626,80.2108,C,1.48,RESIDENTIAL
C0707,13.0626,80.2126,C,3.61,COMMERCIAL
C0708,13.0626,80.2144,C,2.36,COMMERCIAL
C0709,13.0626,80.2162,C,2.92,COMMERCIAL
C0800,13.0644,80.2,B,6.94,PARK
C0801,13.0644,80.2018,B,4.03,RESIDENTIAL
C0802,13.0644,80.2036,D,0.77,ROAD
C0803,13.0644,80.2054,B,5.47,PARK
C0804,13.0644,80.2072,C,3.02,RESIDENTIAL
C0805,13.0644,80.209,C,3.66,RESIDENTIAL
C0806,13.0644,80.2108,B,5.46,PARK
C0807,13.0644,80.2126,C,3.52,COMMERCIAL
C0808,13.0644,80.2144,D,0.78,COMMERCIAL
C0809,13.0644,80.2162,A,7.95,PARK
C0900,13.0662,80.2,B,7.6,RESIDENTIAL
C0901,13.0662,80.2018,D,0.75,ROAD
C0902,13.0662,80.2036,B,5.59,RESIDENTIAL
C0903,13.0662,80.2054,C,3.59,RESIDENTIAL
C0904,13.0662,80.2072,B,7.59,RESIDENTIAL
C0905,13.0662,80.209,C,2.89,RESIDENTIAL
C0906,13.0662,80.2108,D,1.26,ROAD
C0907,13.0662,80.2126,D,0.45,COMMERCIAL
C0908,13.0662,80.2144,D,0.42,COMMERCIAL
C0909,13.0662,80.2162,C,3.44,COMMERCIAL
