rainfall_intensity_mm_per_hr,duration_hr,timestep_min,drainage_degradation_factor,scenario_id,max_water_depth_at_sensor_mm
67.55,1.1,15,0.32,0,34.75125200160876
13.47,4.5,10,0.96,1,0.0
46.77,3.7,5,0.26,2,45.18193945283884
34.47,3.4,5,0.37,3,4.440892098500626e-16
89.94,3.0,10,0.67,4,109.85789662086802
41.67,3.2,20,0.61,5,0.0
59.33,1.7,15,0.81,6,0.0
16.02,3.1,5,0.39,7,0.0
54.78,2.3,10,0.72,8,0.0
31.92,3.5,10,0.32,9,5.048088865369908
98.05,1.3,20,0.87,10,0.0
65.54,5.5,20,0.55,11,117.14099448395616
92.23,1.7,15,0.53,12,64.55919818803072
18.13,5.8,10,1.0,13,4.440892098500626e-16
96.93,3.8,20,0.69,14,156.72871874936038
13.83,3.9,5,0.3,15,0.0
62.27,2.0,10,0.14,16,118.41889130235046
30.18,5.7,20,0.12,17,123.49697528774468
37.7,3.9,15,0.31,18,36.13994834784083
54.5,3.8,15,0.36,19,97.08604294339754
93.52,1.9,10,0.9,20,19.419886323523333
50.06,2.5,15,0.54,21,0.6267930276316289
52.85,4.2,20,0.58,22,6.764861046371991
47.33,2.4,10,0.5,23,1.9692586732414932
16.37,3.2,10,0.81,24,4.440892098500626e-16
16.73,4.8,20,0.47,25,8.881784197001252e-16
76.75,5.7,5,0.65,26,50.612608792723535
71.58,1.5,10,0.16,27,103.95178926313392
91.88,2.5,20,0.51,28,117.06631571977579
39.14,4.1,5,0.34,29,10.63813899310059
16.61,4.0,10,0.41,30,4.440892098500626e-16
35.18,3.5,10,0.51,31,8.881784197001252e-16
87.38,3.6,5,0.39,32,126.73997550154668
50.58,3.2,5,0.76,33,8.881784197001252e-16
43.35,5.8,10,0.92,34,0.0
81.92,2.6,10,0.27,35,173.22806196225008
83.3,1.5,15,0.77,36,5.281590773029707
23.08,2.7,10,0.32,37,0.0
34.43,3.7,20,0.43,38,1.7763568394002505e-15
55.53,3.3,20,0.53,39,15.065623483960117
23.02,3.4,15,0.97,40,8.881784197001252e-16
54.65,5.3,5,0.22,41,76.3203369328847
75.84,5.6,5,0.54,42,70.23230248036509
27.96,4.1,5,0.39,43,0.0
81.24,1.2,15,0.77,44,3.552713678800501e-15
23.14,1.9,5,0.35,45,0.0
45.77,1.9,10,0.66,46,0.0
17.3,4.0,15,0.23,47,8.881784197001252e-16
28.33,1.5,15,0.67,48,0.0
17.52,1.9,10,0.46,49,4.440892098500626e-16
47.89,3.8,15,0.82,50,0.0
92.11,3.5,15,0.89,51,60.743342242904056
59.21,1.6,15,0.37,52,32.165412735289024
78.41,3.6,10,0.95,53,2.7478947071069406
43.35,5.5,20,0.93,54,0.0
27.51,5.0,15,0.93,55,8.881784197001252e-16
42.08,5.2,15,0.48,56,5.923447680790258
46.36,2.0,10,0.31,57,34.060181582520585
23.11,3.3,10,0.73,58,0.0
62.3,2.0,15,0.52,59,21.071500771410367
23.34,4.1,10,0.6,60,0.0
98.11,3.3,10,0.72,61,133.09471503350827
96.4,5.4,10,0.45,62,291.3992655612971
89.03,2.7,5,0.96,63,14.350522608608216
73.96,5.5,5,0.6,64,52.822214391133144
32.18,3.9,20,0.53,65,1.7763568394002505e-15
21.75,5.1,20,0.76,66,0.0
35.16,3.3,5,0.19,67,29.11634014993192
94.08,2.9,10,0.47,68,177.60403755698525
84.45,2.1,15,0.54,69,73.66400895402273
53.31,4.3,15,0.73,70,3.552713678800501e-15
12.75,5.3,15,0.12,71,0.7470593694668196
31.68,1.5,10,0.66,72,8.881784197001252e-16
90.63,2.0,5,0.58,73,74.22321652193943
83.92,4.0,15,0.11,74,367.9769479862803
31.61,1.8,20,0.86,75,0.0
73.99,1.9,5,0.73,76,11.245967443686716
93.37,1.9,20,0.2,77,153.06221125725565
56.34,1.9,20,0.18,78,74.94059635317295
17.86,3.9,20,0.66,79,8.881784197001252e-16
55.9,4.0,15,0.92,80,0.0
14.71,1.4,20,0.34,81,0.0
96.47,3.7,10,0.95,82,71.47081263425946
91.01,2.1,15,0.61,83,72.57386060237081
61.53,3.9,20,0.32,84,146.75356022658863
14.01,4.1,5,0.12,85,0.0
94.6,2.2,15,0.22,86,190.3061782424798
62.75,4.9,15,0.14,87,277.9507032783986
56.78,2.4,20,0.68,88,0.0
38.39,4.8,5,0.45,89,0.0
47.12,3.0,10,0.91,90,0.0
54.44,3.4,15,0.89,91,1.7763568394002505e-15
53.57,2.0,10,0.12,92,99.83149074620869
70.26,4.1,15,0.54,93,109.59985870044012
61.81,3.6,20,0.55,94,38.137215104955665
16.51,3.1,10,0.31,95,4.440892098500626e-16
27.41,3.3,15,0.29,96,0.22342663923719122
10.14,4.5,15,0.77,97,0.0
79.44,1.5,15,0.12,98,128.5578792846125
56.56,1.2,20,0.26,99,27.746281940820214
62.43,4.4,20,0.25,100,219.07209958643986
91.57,5.3,5,0.11,101,200.91975768653072
50.34,3.3,10,0.83,102,1.7763568394002505e-15
88.34,5.0,5,0.5,103,112.78702626806756
22.0,4.1,5,0.24,104,2.220446049250313e-16
64.47,1.7,20,0.5,105,15.296142524981871
46.32,4.2,5,0.87,106,0.0
16.4,2.3,10,0.22,107,4.440892098500626e-16
84.14,5.5,10,0.3,108,287.3413032844069
73.59,5.2,10,0.42,109,181.49676772037495
97.99,3.0,10,0.44,110,211.08817702567572
99.4,1.4,15,0.73,111,24.88637278921821
28.28,5.6,20,0.54,112,1.7763568394002505e-15
62.28,3.7,15,0.98,113,3.552713678800501e-15
53.9,5.4,10,0.79,114,1.7763568394002505e-15
65.05,2.1,5,0.13,115,98.23604410352782
71.58,6.0,5,0.15,116,137.37917196741836
45.51,4.4,10,0.57,117,1.7763568394002505e-15
21.03,2.7,10,0.93,118,4.440892098500626e-16
56.64,3.8,10,0.94,119,1.7763568394002505e-15
14.83,5.5,10,0.55,120,0.0
58.73,3.3,10,0.54,121,35.90870068175876
18.58,2.5,15,0.52,122,0.0
11.51,5.8,20,0.17,123,0.0
26.08,4.0,20,0.11,124,71.55473224566526
30.59,1.4,20,0.39,125,0.0
77.1,3.6,20,0.27,126,224.74522621791215
33.0,4.1,5,0.58,127,4.440892098500626e-16
80.87,5.5,15,0.38,128,304.9337875961474
80.34,3.8,20,0.21,129,293.42726360854334
41.73,2.1,15,0.77,130,1.7763568394002505e-15
39.17,4.3,15,0.9,131,1.7763568394002505e-15
82.37,3.2,5,0.55,132,78.68180909852245
49.96,1.3,10,0.99,133,0.0
12.67,4.8,10,0.8,134,0.0
97.11,3.5,10,0.74,135,136.10207985545708
95.38,5.8,20,0.68,136,268.7510924603152
91.14,2.0,5,0.15,137,149.92856887367236
22.98,4.4,15,0.21,138,10.607040801747825
62.28,1.5,15,0.94,139,0.0
50.69,2.2,15,0.41,140,18.30408586953549
19.71,4.7,5,0.42,141,2.220446049250313e-16
34.83,2.2,15,0.4,142,1.7763568394002505e-15
91.02,5.0,10,0.24,143,333.70383681897886
40.81,3.1,20,1.0,144,0.0
41.61,3.4,10,0.62,145,0.0
81.07,5.2,10,0.34,146,249.69823810293786
53.51,4.7,10,0.62,147,6.234885692325157
16.71,4.8,15,0.29,148,0.0
78.33,4.9,10,0.8,149,61.15800274219801
43.6,2.5,20,0.38,150,9.836945356743414
60.56,5.4,10,0.97,151,0.0
83.34,1.3,10,0.42,152,54.8639333193319
63.6,1.2,10,0.91,153,0.0
68.45,4.6,5,0.82,154,8.881784197001252e-16
58.59,1.7,5,0.72,155,8.881784197001252e-16
14.77,4.6,5,0.7,156,0.0
40.98,3.0,15,0.7,157,1.7763568394002505e-15
14.1,2.0,5,0.23,158,0.0
16.04,2.6,5,0.8,159,0.0
78.75,4.2,20,0.89,160,9.70399568167268
18.17,5.2,10,0.13,161,16.353796472136974
45.72,1.4,10,0.22,162,33.60634419674027
49.1,4.6,20,0.52,163,14.15728409884108
10.78,2.5,10,0.86,164,2.220446049250313e-16
55.54,4.3,10,0.77,165,1.7763568394002505e-15
35.12,4.9,5,0.62,166,4.440892098500626e-16
60.13,1.1,15,0.18,167,46.827775652233825
44.62,4.4,20,0.94,168,1.7763568394002505e-15
60.84,4.7,5,0.38,169,60.2772004799162
45.66,5.9,5,0.37,170,22.278638405442916
23.69,2.1,5,0.27,171,0.0
56.56,2.8,15,0.68,172,0.0
13.96,5.6,5,0.87,173,0.0
87.29,4.2,20,0.53,174,201.89847004678595
96.43,2.2,15,0.73,175,56.16469003174716
37.03,1.5,15,0.4,176,1.7763568394002505e-15
72.84,2.7,5,0.4,177,77.71430926617396
77.28,2.2,10,0.51,178,76.18242426175813
32.09,1.5,15,0.6,179,0.0
80.09,2.2,15,0.13,180,174.81046902973964
39.89,3.2,20,0.87,181,0.0
15.74,2.0,5,0.99,182,0.0
73.0,2.2,10,0.27,183,125.43753128791866
53.56,5.3,5,0.26,184,65.31953685035616
45.92,5.1,15,0.17,185,170.29719791511508
92.77,4.5,10,0.62,186,189.64140611731912
57.59,2.1,20,0.82,187,3.552713678800501e-15
73.45,2.5,5,0.69,188,23.726735241438558
86.91,5.8,20,0.87,189,100.47887287486805
35.29,2.2,5,0.17,190,28.213287670202217
71.42,4.1,10,0.82,191,14.486401817403571
40.77,5.3,20,0.55,192,0.0
41.21,3.6,5,0.32,193,19.140485735165488
70.59,3.5,15,0.17,194,241.92616179239022
66.03,5.5,10,0.81,195,4.740239661610089
81.63,1.4,5,0.18,196,93.86641234808016
20.68,5.1,10,0.48,197,4.440892098500626e-16
87.75,1.3,15,0.23,198,98.06611995863815
71.93,4.8,15,0.93,199,0.0
40.18,3.5,20,0.56,200,0.0
98.02,3.6,20,0.15,201,374.1627166912758
95.16,4.9,20,0.45,202,335.45222872169273
21.32,3.4,20,0.4,203,0.0
93.44,3.6,15,0.16,204,354.1495737265906
51.24,1.1,20,0.88,205,0.0
85.31,4.6,20,0.75,206,102.36023568633144
34.4,5.3,15,0.99,207,1.7763568394002505e-15
44.88,5.7,5,0.73,208,0.0
50.03,2.9,20,0.32,209,55.72001246622052
79.92,1.1,15,0.59,210,10.63739051454816
58.44,2.9,10,0.69,211,1.7763568394002505e-15
43.73,2.3,15,0.3,212,33.53076909468005
14.98,4.2,5,0.93,213,0.0
54.0,3.2,20,0.83,214,3.552713678800501e-15
38.54,1.5,10,0.11,215,46.50427197216967
68.83,1.4,20,0.28,216,58.30058812924198
13.56,3.7,20,0.64,217,0.0
28.96,5.7,20,0.29,218,17.22524022399774
49.0,6.0,10,0.96,219,1.7763568394002505e-15
38.19,3.7,20,0.41,220,2.30681748127151
76.79,5.1,20,0.4,221,264.1120056604608
65.97,4.4,10,0.57,222,75.99634970821556
82.84,3.4,15,0.54,223,137.48737571201306
